license_number,license_type,Dba,Premise_address,City,licensee,gov,Community Council
11927,Retail Marijuana Store,GREEN LIFE SUPPLY LLC,511 30th ave.,Fairbanks,"Green Life Supply, LLC",Fairbanks (City of),
11957,Standard Marijuana Cultivation Facility,LAST FRONTIER JOINT OPERATIONS LLC.,7180 Revilla rd suite 101,ketchikan,Last Frontier Joint Operations LLC.,Ketchikan Gateway Borough,
11966,Retail Marijuana Store,GREAT NORTHERN CANNABIS,541 W. 4th Ave.,Anchorage,"Great Northern Cannabis, Inc.",Anchorage (Municipality of),Downtown
12002,Limited Marijuana Cultivation Facility,"VAN GEER ENTERPRISES, LLC",7411 W. Dean Drive,Wasilla,"Van Geer Enterprises, LLC.",Matanuska-Susitna Borough,Meadow Lakes
12022,Limited Marijuana Cultivation Facility,ROSEBUDS CULTIVATION,3361 W Machen Rd,Wasilla,SEAN P TOWER,Matanuska-Susitna Borough,Meadow Lakes
12023,Retail Marijuana Store,ROSEBUDS SHATTER HOUSE,3361 W Machen Rd,Wasilla,SEAN P TOWER,Matanuska-Susitna Borough,Meadow Lakes
12037,Standard Marijuana Cultivation Facility,THE FARM,20525 Twitty Rd.,Willow,S.H.S LLC,Matanuska-Susitna Borough,Willow Area
12062,Limited Marijuana Cultivation Facility,MATANUSKA MEDICINE WOMAN LLC,"13840 W Shangrila ave, Unit #1",Wasilla,Matanuska Medicine Woman LLC,Matanuska-Susitna Borough,Knik-Fairview
12104,Standard Marijuana Cultivation Facility,COASTAL OUTFITTERS,38928 Old Sterling Highway,Anchor Point,CHARLES KEIM,Kenai Peninsula Borough,
12253,Standard Marijuana Cultivation Facility,AK O FARMSLLC.,1210 beardsley,sitka,"AKO Farms, LLC",Sitka (City and Borough of),
12254,Marijuana Product Manufacturing Facility,LADY GRAY GOURMET MEDIBLES,"36322 Pine Street, Suite 1",Soldotna,"Lady Gray, LLC",Kenai Peninsula Borough,
12255,Limited Marijuana Cultivation Facility,LADY GRAY GROWING,"36322 Pine Street, Suite 1(a)",Soldotna,"Lady Gray, LLC",Kenai Peninsula Borough,
12303,Limited Marijuana Cultivation Facility,PENINSULA BOTANICALS,"1030 angler drive, Unit B",kenai,"Peninsula Botanicals, LLC",Kenai (City of),
12325,Retail Marijuana Store,GOOD LLC,356 Old Steese Hwy,Fairbanks,Good LLC,Fairbanks (City of),
12328,Standard Marijuana Cultivation Facility,"AURORA BLAZE, LLC",2693 Arla Street,Fairbanks,"AURORA BLAZE, LLC",Fairbanks North Star Borough,
12398,Limited Marijuana Cultivation Facility,HIGH TIDE DISTRIBUTORS,49172 Heights Lane,Nikiski,DENNIS R HUMPHREY,Kenai Peninsula Borough,
12448,Limited Marijuana Cultivation Facility,WILL'S WORLD,"12151 E. Palmer-Wasilla Hwy, Unit 1C",Palmer,"Will's World, LLC",Matanuska-Susitna Borough,None
12461,Standard Marijuana Cultivation Facility,"GUEST SERVICES, LLC.","12668 W. Westen, 12696 W. Westen",Houston,"GUEST SERVICES, LLC.",Houston,
12487,Marijuana Product Manufacturing Facility,TREAT YO' SELF,2632 Mistletoe Dr,North Pole,AARON J ROSS,Fairbanks North Star Borough,
12488,Standard Marijuana Cultivation Facility,THIRDSTATE,200 Pheasant Farm Road,Fairbanks,"H.E. Holdings, LLC",Fairbanks North Star Borough,
12523,Limited Marijuana Cultivation Facility,AK KUSH,"1055 N Helen Lane, Units 3 & 4",Wasilla,"AK Kush, LLC",Matanuska-Susitna Borough,Tanaina
12550,Limited Marijuana Cultivation Facility,FRONTIER FARMERS,6284 N Carrie Street,Wasilla,"JJH Holdings, LLC",Matanuska-Susitna Borough,Fishhook
12612,Limited Marijuana Cultivation Facility,ABSOLEM'S GARDEN,13247 East Wycoff Drive,Palmer,"Absolem's Garden, LLC",Matanuska-Susitna Borough,South Knik River
12616,Standard Marijuana Cultivation Facility,"FRISSON FARMS, LLC.",5060 Haystack Drive,Fairbanks,"FRISSON FARMS, LLC.",Fairbanks North Star Borough,
12618,Standard Marijuana Cultivation Facility,ALASKA CANNABIS COMPANY,43280 Kenai Spur Highway,Nikiski,Hempco LLC,Kenai Peninsula Borough,
12633,Standard Marijuana Cultivation Facility,"EMERALD CITY ORGANICS, LLC",4250 Field of Dreams St.,Wasilla,"EMERALD CITY ORGANICS, LLC",Matanuska-Susitna Borough,Tanaina
12635,Retail Marijuana Store,HILLTOP PREMIUM GREEN LLC,13856 N. GLENN HWY,SUTTON,"Hilltop Premium Green""LLC"".",Matanuska-Susitna Borough,Sutton
12637,Limited Marijuana Cultivation Facility,HILLTOP PREMIUM GREEN LLC,13856 N. GLENN HWY,SUTTON,"Hilltop Premium Green""LLC"".",Matanuska-Susitna Borough,Sutton
12657,Marijuana Testing Facility,THE NEW FRONTIER RESEARCH,"2301 South Knik-Goose Bay Rd, Unit #3",Wasilla,The New Frontier Research LLC,Matanuska-Susitna Borough,Knik-Fairview
12783,Standard Marijuana Cultivation Facility,"HOMER BUDZ, LLC",67835 Virginia Ave,Homer,"Homer Budz, LLC",Kenai Peninsula Borough,
12825,Limited Marijuana Cultivation Facility,FOLEY'S IRISH GREEN,3530 S Phenix Ave,Wasilla,TROY J FOLEY,Matanuska-Susitna Borough,Knik-Fairview
12866,Retail Marijuana Store,UNCLE HERB'S,1213 Ocean Drive,Homer,"Eden Management Group, LLC",Homer,
12872,Standard Marijuana Cultivation Facility,"GREENSTAR, INC.",54843 Kenai Spur Hwy,Nikiski,"Greenstar, Inc.",Kenai Peninsula Borough,
12904,Standard Marijuana Cultivation Facility,GRASS FRONTIER FARMS,7596 W Carmel rd,wasilla,KAD LLC,Matanuska-Susitna Borough,Knik-Fairview
12919,Limited Marijuana Cultivation Facility,"BLUEBERRY HILL, LLC.",6990 S. Yohn Bay Pl.,Wasilla,"Blueberry Hill, LLC.",Matanuska-Susitna Borough,Knik-Fairview
12935,Limited Marijuana Cultivation Facility,"DYZ ALASKA, LLC",350 N Pioneer View Cir,Wasilla,"DYZ ALASKA, LLC",Matanuska-Susitna Borough,Gateway
12956,Retail Marijuana Store,GRASS STATION 49,665 Rainbow Drive,Fairbanks,"The Grass Station, LLC",Fairbanks North Star Borough,
13102,Limited Marijuana Cultivation Facility,"ALASKABUDS, LLC",6421 Admiralty Circle,Wasilla,"Alaskabuds, LLC",Matanuska-Susitna Borough,Knik-Fairview
13119,Retail Marijuana Store,REBEL ROOTS LLC,2575 Goldstream Road,Fairbanks,Rebel Roots LLC,Fairbanks North Star Borough,
13175,Marijuana Product Manufacturing Facility,FIRE EATER,"36160 SPUR HWY, SUITE A",SOLDOTNA,Sideshow Food LLC,Kenai Peninsula Borough,
13217,Retail Marijuana Store,GLACIER VALLEY SHOP,"8505 Old Dairy Road, Suite 1",Juneau,"ForgetMeNot Enterprises, Inc.",Juneau (City and Borough of),
13221,Standard Marijuana Cultivation Facility,GREEN VALLEY ENTERPRISES,"8505 Old Dairy Road, Suite 2",Juneau,"ForgetMeNot Enterprises, Inc.",Juneau (City and Borough of),
13222,Marijuana Product Manufacturing Facility,SOUTHEAST ESSENTIALS,8505 Old Dairy Rd,Juneau,"ForgetMeNot Enterprises, Inc.",Juneau (City and Borough of),
13299,Limited Marijuana Cultivation Facility,DOWN TO EARTH FARMS,20288 East Birch Hill Drive,Palmer,"Zlorg, LLC",Matanuska-Susitna Borough,South Knik River
13374,Standard Marijuana Cultivation Facility,KNIK GLACIER GARDENS,25930 E. Knik River Rd,Palmer,"Knik Gardens, LLC",Matanuska-Susitna Borough,South Knik River
